"target","factor","predictor","gammaTrue","row_nbr","type_of_indicator","communality","corr_f1f2","sample_size","Num_Ind_per_fact","power_bar"
"Power","F2.ON","N",0.95,179,"BMR","Wide","Strong",3000,10,"1.00"
"Power","F2.ON","N",0.95,180,"BMR","Wide","Strong",3000,16,"1.00"
"Power","F2.ON","N",0.95,181,"BMR","High","Independence",50,6,"1.00"
"Power","F2.ON","N",0.95,182,"BMR","High","Independence",50,10,"0.67"
"Power","F2.ON","N",0.95,183,"BMR","High","Independence",50,16,"0.67"
"Power","F2.ON","N",0.95,184,"BMR","High","Independence",100,6,"1.00"
"Power","F2.ON","N",0.95,185,"BMR","High","Independence",100,10,"1.00"
"Power","F2.ON","N",0.95,186,"BMR","High","Independence",100,16,"1.00"
"Power","F2.ON","N",0.95,187,"BMR","High","Independence",300,6,"1.00"
"Power","F2.ON","N",0.95,188,"BMR","High","Independence",300,10,"1.00"
"Power","F2.ON","N",0.95,189,"BMR","High","Independence",300,16,"1.00"
"Power","F2.ON","N",0.95,190,"BMR","High","Independence",3000,6,"1.00"
"Power","F2.ON","N",0.95,191,"BMR","High","Independence",3000,10,"1.00"
"Power","F2.ON","N",0.95,192,"BMR","High","Independence",3000,16,"1.00"
"Power","F2.ON","N",0.95,193,"BMR","High","Moderate",50,6,"0.50"
"Power","F2.ON","N",0.95,194,"BMR","High","Moderate",50,10,"0.33"
"Power","F2.ON","N",0.95,195,"BMR","High","Moderate",50,16,"99"
"Power","F2.ON","N",0.95,196,"BMR","High","Moderate",100,6,"1.00"
"Power","F2.ON","N",0.95,197,"BMR","High","Moderate",100,10,"1.00"
"Power","F2.ON","N",0.95,198,"BMR","High","Moderate",100,16,"1.00"
"Power","F2.ON","N",0.95,199,"BMR","High","Moderate",300,6,"1.00"
"Power","F2.ON","N",0.95,200,"BMR","High","Moderate",300,10,"1.00"
"Power","F2.ON","N",0.95,201,"BMR","High","Moderate",300,16,"1.00"
"Power","F2.ON","N",0.95,202,"BMR","High","Moderate",3000,6,"1.00"
