"target","factor","predictor","gammaTrue","row_nbr","type_of_indicator","communality","corr_f1f2","sample_size","Num_Ind_per_fact","power_bar"
"Power","F1.ON","E",-0.3,164,"BMR","Wide","Moderate",300,10,"0.68"
"Power","F1.ON","E",-0.3,165,"BMR","Wide","Moderate",300,16,"0.70"
"Power","F1.ON","E",-0.3,166,"BMR","Wide","Moderate",3000,6,"1.00"
"Power","F1.ON","E",-0.3,167,"BMR","Wide","Moderate",3000,10,"1.00"
"Power","F1.ON","E",-0.3,168,"BMR","Wide","Moderate",3000,16,"1.00"
"Power","F1.ON","E",-0.3,169,"BMR","Wide","Strong",50,6,"0.15"
"Power","F1.ON","E",-0.3,170,"BMR","Wide","Strong",50,10,"0.11"
"Power","F1.ON","E",-0.3,171,"BMR","Wide","Strong",50,16,"0.08"
"Power","F1.ON","E",-0.3,172,"BMR","Wide","Strong",100,6,"0.21"
"Power","F1.ON","E",-0.3,173,"BMR","Wide","Strong",100,10,"0.30"
"Power","F1.ON","E",-0.3,174,"BMR","Wide","Strong",100,16,"0.18"
"Power","F1.ON","E",-0.3,175,"BMR","Wide","Strong",300,6,"0.53"
"Power","F1.ON","E",-0.3,176,"BMR","Wide","Strong",300,10,"0.67"
"Power","F1.ON","E",-0.3,177,"BMR","Wide","Strong",300,16,"0.72"
"Power","F1.ON","E",-0.3,178,"BMR","Wide","Strong",3000,6,"1.00"
"Power","F1.ON","E",-0.3,179,"BMR","Wide","Strong",3000,10,"1.00"
"Power","F1.ON","E",-0.3,180,"BMR","Wide","Strong",3000,16,"1.00"
"Power","F1.ON","E",-0.3,181,"BMR","High","Independence",50,6,"0.00"
"Power","F1.ON","E",-0.3,182,"BMR","High","Independence",50,10,"0.00"
"Power","F1.ON","E",-0.3,183,"BMR","High","Independence",50,16,"0.33"
"Power","F1.ON","E",-0.3,184,"BMR","High","Independence",100,6,"0.14"
"Power","F1.ON","E",-0.3,185,"BMR","High","Independence",100,10,"0.50"
"Power","F1.ON","E",-0.3,186,"BMR","High","Independence",100,16,"0.13"
"Power","F1.ON","E",-0.3,187,"BMR","High","Independence",300,6,"0.67"
"Power","F1.ON","E",-0.3,188,"BMR","High","Independence",300,10,"0.80"
"Power","F1.ON","E",-0.3,189,"BMR","High","Independence",300,16,"0.35"
"Power","F1.ON","E",-0.3,190,"BMR","High","Independence",3000,6,"1.00"
"Power","F1.ON","E",-0.3,191,"BMR","High","Independence",3000,10,"1.00"
"Power","F1.ON","E",-0.3,192,"BMR","High","Independence",3000,16,"1.00"
"Power","F1.ON","E",-0.3,193,"BMR","High","Moderate",50,6,"0.00"
"Power","F1.ON","E",-0.3,194,"BMR","High","Moderate",50,10,"0.00"
"Power","F1.ON","E",-0.3,195,"BMR","High","Moderate",50,16,"99"
"Power","F1.ON","E",-0.3,196,"BMR","High","Moderate",100,6,"0.18"
"Power","F1.ON","E",-0.3,197,"BMR","High","Moderate",100,10,"0.33"
"Power","F1.ON","E",-0.3,198,"BMR","High","Moderate",100,16,"0.11"
"Power","F1.ON","E",-0.3,199,"BMR","High","Moderate",300,6,"0.64"
"Power","F1.ON","E",-0.3,200,"BMR","High","Moderate",300,10,"0.71"
"Power","F1.ON","E",-0.3,201,"BMR","High","Moderate",300,16,"0.73"
"Power","F1.ON","E",-0.3,202,"BMR","High","Moderate",3000,6,"1.00"
"Power","F1.ON","E",-0.3,203,"BMR","High","Moderate",3000,10,"1.00"
"Power","F1.ON","E",-0.3,204,"BMR","High","Moderate",3000,16,"1.00"
"Power","F1.ON","E",-0.3,205,"BMR","High","Strong",50,6,"0.00"
"Power","F1.ON","E",-0.3,206,"BMR","High","Strong",50,10,"99"
"Power","F1.ON","E",-0.3,207,"BMR","High","Strong",50,16,"0.00"
"Power","F1.ON","E",-0.3,208,"BMR","High","Strong",100,6,"0.60"
"Power","F1.ON","E",-0.3,209,"BMR","High","Strong",100,10,"0.50"
"Power","F1.ON","E",-0.3,210,"BMR","High","Strong",100,16,"0.50"
"Power","F1.ON","E",-0.3,211,"BMR","High","Strong",300,6,"0.71"
"Power","F1.ON","E",-0.3,212,"BMR","High","Strong",300,10,"0.50"
"Power","F1.ON","E",-0.3,213,"BMR","High","Strong",300,16,"0.70"
"Power","F1.ON","E",-0.3,214,"BMR","High","Strong",3000,6,"1.00"
"Power","F1.ON","E",-0.3,215,"BMR","High","Strong",3000,10,"1.00"
"Power","F1.ON","E",-0.3,216,"BMR","High","Strong",3000,16,"1.00"
"Power","F1.ON","E",-0.3,217,"Interval","Low","Independence",50,6,"0.12"
"Power","F1.ON","E",-0.3,218,"Interval","Low","Independence",50,10,"0.21"
"Power","F1.ON","E",-0.3,219,"Interval","Low","Independence",50,16,"0.22"
"Power","F1.ON","E",-0.3,220,"Interval","Low","Independence",100,6,"0.21"
"Power","F1.ON","E",-0.3,221,"Interval","Low","Independence",100,10,"0.28"
"Power","F1.ON","E",-0.3,222,"Interval","Low","Independence",100,16,"0.23"
"Power","F1.ON","E",-0.3,223,"Interval","Low","Independence",300,6,"0.58"
"Power","F1.ON","E",-0.3,224,"Interval","Low","Independence",300,10,"0.69"
"Power","F1.ON","E",-0.3,225,"Interval","Low","Independence",300,16,"0.79"
"Power","F1.ON","E",-0.3,226,"Interval","Low","Independence",3000,6,"1.00"
"Power","F1.ON","E",-0.3,227,"Interval","Low","Independence",3000,10,"1.00"
"Power","F1.ON","E",-0.3,228,"Interval","Low","Independence",3000,16,"1.00"
"Power","F1.ON","E",-0.3,229,"Interval","Low","Moderate",50,6,"0.17"
"Power","F1.ON","E",-0.3,230,"Interval","Low","Moderate",50,10,"0.23"
"Power","F1.ON","E",-0.3,231,"Interval","Low","Moderate",50,16,"0.15"
"Power","F1.ON","E",-0.3,232,"Interval","Low","Moderate",100,6,"0.26"
"Power","F1.ON","E",-0.3,233,"Interval","Low","Moderate",100,10,"0.27"
"Power","F1.ON","E",-0.3,234,"Interval","Low","Moderate",100,16,"0.25"
"Power","F1.ON","E",-0.3,235,"Interval","Low","Moderate",300,6,"0.69"
"Power","F1.ON","E",-0.3,236,"Interval","Low","Moderate",300,10,"0.72"
"Power","F1.ON","E",-0.3,237,"Interval","Low","Moderate",300,16,"0.85"
"Power","F1.ON","E",-0.3,238,"Interval","Low","Moderate",3000,6,"1.00"
"Power","F1.ON","E",-0.3,239,"Interval","Low","Moderate",3000,10,"1.00"
"Power","F1.ON","E",-0.3,240,"Interval","Low","Moderate",3000,16,"1.00"
"Power","F1.ON","E",-0.3,241,"Interval","Low","Strong",50,6,"0.16"
"Power","F1.ON","E",-0.3,242,"Interval","Low","Strong",50,10,"0.24"
"Power","F1.ON","E",-0.3,243,"Interval","Low","Strong",50,16,"0.23"
"Power","F1.ON","E",-0.3,244,"Interval","Low","Strong",100,6,"0.21"
"Power","F1.ON","E",-0.3,245,"Interval","Low","Strong",100,10,"0.26"
"Power","F1.ON","E",-0.3,246,"Interval","Low","Strong",100,16,"0.31"
"Power","F1.ON","E",-0.3,247,"Interval","Low","Strong",300,6,"0.59"
"Power","F1.ON","E",-0.3,248,"Interval","Low","Strong",300,10,"0.67"
"Power","F1.ON","E",-0.3,249,"Interval","Low","Strong",300,16,"0.71"
"Power","F1.ON","E",-0.3,250,"Interval","Low","Strong",3000,6,"1.00"
"Power","F1.ON","E",-0.3,251,"Interval","Low","Strong",3000,10,"1.00"
"Power","F1.ON","E",-0.3,252,"Interval","Low","Strong",3000,16,"1.00"
"Power","F1.ON","E",-0.3,253,"Interval","Wide","Independence",50,6,"0.13"
"Power","F1.ON","E",-0.3,254,"Interval","Wide","Independence",50,10,"0.28"
"Power","F1.ON","E",-0.3,255,"Interval","Wide","Independence",50,16,"0.21"
"Power","F1.ON","E",-0.3,256,"Interval","Wide","Independence",100,6,"0.25"
"Power","F1.ON","E",-0.3,257,"Interval","Wide","Independence",100,10,"0.26"
"Power","F1.ON","E",-0.3,258,"Interval","Wide","Independence",100,16,"0.38"
"Power","F1.ON","E",-0.3,259,"Interval","Wide","Independence",300,6,"0.65"
"Power","F1.ON","E",-0.3,260,"Interval","Wide","Independence",300,10,"0.75"
"Power","F1.ON","E",-0.3,261,"Interval","Wide","Independence",300,16,"0.86"
"Power","F1.ON","E",-0.3,262,"Interval","Wide","Independence",3000,6,"1.00"
"Power","F1.ON","E",-0.3,263,"Interval","Wide","Independence",3000,10,"1.00"
"Power","F1.ON","E",-0.3,264,"Interval","Wide","Independence",3000,16,"1.00"
"Power","F1.ON","E",-0.3,265,"Interval","Wide","Moderate",50,6,"0.21"
"Power","F1.ON","E",-0.3,266,"Interval","Wide","Moderate",50,10,"0.22"
"Power","F1.ON","E",-0.3,267,"Interval","Wide","Moderate",50,16,"0.17"
"Power","F1.ON","E",-0.3,268,"Interval","Wide","Moderate",100,6,"0.34"
"Power","F1.ON","E",-0.3,269,"Interval","Wide","Moderate",100,10,"0.43"
"Power","F1.ON","E",-0.3,270,"Interval","Wide","Moderate",100,16,"0.44"
"Power","F1.ON","E",-0.3,271,"Interval","Wide","Moderate",300,6,"0.64"
"Power","F1.ON","E",-0.3,272,"Interval","Wide","Moderate",300,10,"0.73"
"Power","F1.ON","E",-0.3,273,"Interval","Wide","Moderate",300,16,"0.82"
"Power","F1.ON","E",-0.3,274,"Interval","Wide","Moderate",3000,6,"1.00"
"Power","F1.ON","E",-0.3,275,"Interval","Wide","Moderate",3000,10,"1.00"
"Power","F1.ON","E",-0.3,276,"Interval","Wide","Moderate",3000,16,"1.00"
"Power","F1.ON","E",-0.3,277,"Interval","Wide","Strong",50,6,"0.22"
"Power","F1.ON","E",-0.3,278,"Interval","Wide","Strong",50,10,"0.24"
"Power","F1.ON","E",-0.3,279,"Interval","Wide","Strong",50,16,"0.27"
"Power","F1.ON","E",-0.3,280,"Interval","Wide","Strong",100,6,"0.32"
"Power","F1.ON","E",-0.3,281,"Interval","Wide","Strong",100,10,"0.42"
"Power","F1.ON","E",-0.3,282,"Interval","Wide","Strong",100,16,"0.32"
"Power","F1.ON","E",-0.3,283,"Interval","Wide","Strong",300,6,"0.75"
"Power","F1.ON","E",-0.3,284,"Interval","Wide","Strong",300,10,"0.72"
"Power","F1.ON","E",-0.3,285,"Interval","Wide","Strong",300,16,"0.86"
"Power","F1.ON","E",-0.3,286,"Interval","Wide","Strong",3000,6,"1.00"
"Power","F1.ON","E",-0.3,287,"Interval","Wide","Strong",3000,10,"1.00"
"Power","F1.ON","E",-0.3,288,"Interval","Wide","Strong",3000,16,"1.00"
"Power","F1.ON","E",-0.3,289,"Interval","High","Independence",50,6,"0.19"
"Power","F1.ON","E",-0.3,290,"Interval","High","Independence",50,10,"0.34"
