"target","factor","predictor","gammaTrue","row_nbr","type_of_indicator","communality","corr_f1f2","sample_size","Num_Ind_per_fact","power_bar"
"Power","F2.ON","C",0.1,163,"BMR","Wide","Moderate",300,6,"0.08"
"Power","F2.ON","C",0.1,164,"BMR","Wide","Moderate",300,10,"0.15"
"Power","F2.ON","C",0.1,165,"BMR","Wide","Moderate",300,16,"0.11"
"Power","F2.ON","C",0.1,166,"BMR","Wide","Moderate",3000,6,"0.67"
"Power","F2.ON","C",0.1,167,"BMR","Wide","Moderate",3000,10,"0.75"
"Power","F2.ON","C",0.1,168,"BMR","Wide","Moderate",3000,16,"0.68"
"Power","F2.ON","C",0.1,169,"BMR","Wide","Strong",50,6,"0.06"
"Power","F2.ON","C",0.1,170,"BMR","Wide","Strong",50,10,"0.07"
"Power","F2.ON","C",0.1,171,"BMR","Wide","Strong",50,16,"0.03"
"Power","F2.ON","C",0.1,172,"BMR","Wide","Strong",100,6,"0.04"
"Power","F2.ON","C",0.1,173,"BMR","Wide","Strong",100,10,"0.12"
"Power","F2.ON","C",0.1,174,"BMR","Wide","Strong",100,16,"0.07"
"Power","F2.ON","C",0.1,175,"BMR","Wide","Strong",300,6,"0.13"
"Power","F2.ON","C",0.1,176,"BMR","Wide","Strong",300,10,"0.16"
"Power","F2.ON","C",0.1,177,"BMR","Wide","Strong",300,16,"0.14"
"Power","F2.ON","C",0.1,178,"BMR","Wide","Strong",3000,6,"0.67"
"Power","F2.ON","C",0.1,179,"BMR","Wide","Strong",3000,10,"0.78"
"Power","F2.ON","C",0.1,180,"BMR","Wide","Strong",3000,16,"0.82"
"Power","F2.ON","C",0.1,181,"BMR","High","Independence",50,6,"0.00"
"Power","F2.ON","C",0.1,182,"BMR","High","Independence",50,10,"0.00"
"Power","F2.ON","C",0.1,183,"BMR","High","Independence",50,16,"0.00"
"Power","F2.ON","C",0.1,184,"BMR","High","Independence",100,6,"0.14"
"Power","F2.ON","C",0.1,185,"BMR","High","Independence",100,10,"0.00"
"Power","F2.ON","C",0.1,186,"BMR","High","Independence",100,16,"0.13"
"Power","F2.ON","C",0.1,187,"BMR","High","Independence",300,6,"0.14"
"Power","F2.ON","C",0.1,188,"BMR","High","Independence",300,10,"0.13"
"Power","F2.ON","C",0.1,189,"BMR","High","Independence",300,16,"0.18"
"Power","F2.ON","C",0.1,190,"BMR","High","Independence",3000,6,"0.60"
"Power","F2.ON","C",0.1,191,"BMR","High","Independence",3000,10,"0.64"
"Power","F2.ON","C",0.1,192,"BMR","High","Independence",3000,16,"0.70"
"Power","F2.ON","C",0.1,193,"BMR","High","Moderate",50,6,"0.00"
"Power","F2.ON","C",0.1,194,"BMR","High","Moderate",50,10,"0.00"
"Power","F2.ON","C",0.1,195,"BMR","High","Moderate",50,16,"99"
"Power","F2.ON","C",0.1,196,"BMR","High","Moderate",100,6,"0.09"
"Power","F2.ON","C",0.1,197,"BMR","High","Moderate",100,10,"0.00"
"Power","F2.ON","C",0.1,198,"BMR","High","Moderate",100,16,"0.00"
"Power","F2.ON","C",0.1,199,"BMR","High","Moderate",300,6,"0.00"
"Power","F2.ON","C",0.1,200,"BMR","High","Moderate",300,10,"0.21"
"Power","F2.ON","C",0.1,201,"BMR","High","Moderate",300,16,"0.33"
"Power","F2.ON","C",0.1,202,"BMR","High","Moderate",3000,6,"0.62"
"Power","F2.ON","C",0.1,203,"BMR","High","Moderate",3000,10,"0.75"
"Power","F2.ON","C",0.1,204,"BMR","High","Moderate",3000,16,"0.70"
"Power","F2.ON","C",0.1,205,"BMR","High","Strong",50,6,"0.00"
"Power","F2.ON","C",0.1,206,"BMR","High","Strong",50,10,"99"
"Power","F2.ON","C",0.1,207,"BMR","High","Strong",50,16,"0.00"
"Power","F2.ON","C",0.1,208,"BMR","High","Strong",100,6,"0.00"
"Power","F2.ON","C",0.1,209,"BMR","High","Strong",100,10,"0.25"
"Power","F2.ON","C",0.1,210,"BMR","High","Strong",100,16,"0.25"
"Power","F2.ON","C",0.1,211,"BMR","High","Strong",300,6,"0.00"
"Power","F2.ON","C",0.1,212,"BMR","High","Strong",300,10,"0.00"
