"seed";"a";"b";"c";"d";"e";"rho1";"rho2";"err1";"err2";"flipped"
10216;100;10;0;1;2;0.796;0.756;FALSE;FALSE;"NOT-flipped"
10244;100;10;0;1;2;0.753;0.867;FALSE;FALSE;"NOT-flipped"
10850;100;10;0;1;2;0.83;0.89;FALSE;FALSE;"NOT-flipped"
10935;100;10;0;1;2;0.827;0.84;FALSE;FALSE;"NOT-flipped"
11098;100;10;0;1;2;0.891;0.808;FALSE;FALSE;"NOT-flipped"
11471;100;10;0;1;2;0.87;0.773;FALSE;FALSE;"NOT-flipped"
1150;100;10;0;1;2;0.817;0.861;FALSE;FALSE;"NOT-flipped"
11771;100;10;0;1;2;NA;NA;FALSE;TRUE;"NOT-IMP"
12519;100;10;0;1;2;0.818;0.774;FALSE;FALSE;"NOT-flipped"
12599;100;10;0;1;2;0.837;0.841;FALSE;FALSE;"NOT-flipped"
1273;100;10;0;1;2;0.794;0.835;FALSE;FALSE;"NOT-flipped"
12895;100;10;0;1;2;0.763;0.834;FALSE;FALSE;"NOT-flipped"
12934;100;10;0;1;2;0.807;0.777;FALSE;FALSE;"NOT-flipped"
12967;100;10;0;1;2;0.858;0.776;FALSE;FALSE;"NOT-flipped"
1298;100;10;0;1;2;0.836;0.718;FALSE;FALSE;"NOT-flipped"
13109;100;10;0;1;2;0.736;0.807;FALSE;FALSE;"NOT-flipped"
13110;100;10;0;1;2;0.877;0.828;FALSE;FALSE;"NOT-flipped"
13213;100;10;0;1;2;0.87;0.772;FALSE;FALSE;"NOT-flipped"
13246;100;10;0;1;2;0.802;0.813;FALSE;FALSE;"NOT-flipped"
13374;100;10;0;1;2;0.838;0.871;FALSE;FALSE;"NOT-flipped"
13495;100;10;0;1;2;0.838;0.807;FALSE;FALSE;"NOT-flipped"
13543;100;10;0;1;2;0.828;0.741;FALSE;FALSE;"NOT-flipped"
1361;100;10;0;1;2;0.832;0.813;FALSE;FALSE;"NOT-flipped"
13728;100;10;0;1;2;0.709;0.859;FALSE;FALSE;"NOT-flipped"
13759;100;10;0;1;2;0.831;0.822;FALSE;FALSE;"NOT-flipped"
13810;100;10;0;1;2;0.683;0.841;FALSE;FALSE;"NOT-flipped"
1395;100;10;0;1;2;0.849;0.854;FALSE;FALSE;"NOT-flipped"
14042;100;10;0;1;2;0.802;0.813;FALSE;FALSE;"NOT-flipped"
14687;100;10;0;1;2;0.807;0.827;FALSE;FALSE;"NOT-flipped"
14797;100;10;0;1;2;0.815;0.864;FALSE;FALSE;"NOT-flipped"
14800;100;10;0;1;2;0.835;0.874;FALSE;FALSE;"NOT-flipped"
14857;100;10;0;1;2;0.842;0.829;FALSE;FALSE;"NOT-flipped"
14984;100;10;0;1;2;0.806;0.839;FALSE;FALSE;"NOT-flipped"
15487;100;10;0;1;2;0.775;0.882;FALSE;FALSE;"NOT-flipped"
15732;100;10;0;1;2;0.796;0.77;FALSE;FALSE;"NOT-flipped"
15807;100;10;0;1;2;0.826;0.813;FALSE;FALSE;"NOT-flipped"
16409;100;10;0;1;2;0.792;0.769;FALSE;FALSE;"NOT-flipped"
16434;100;10;0;1;2;0.804;0.809;FALSE;FALSE;"NOT-flipped"
1667;100;10;0;1;2;0.836;0.851;FALSE;FALSE;"NOT-flipped"
16924;100;10;0;1;2;0.767;0.853;FALSE;FALSE;"NOT-flipped"
17347;100;10;0;1;2;0.771;0.892;FALSE;FALSE;"NOT-flipped"
17718;100;10;0;1;2;0.797;0.8;FALSE;FALSE;"NOT-flipped"
17746;100;10;0;1;2;0.741;0.76;FALSE;FALSE;"NOT-flipped"
18131;100;10;0;1;2;0.807;0.796;FALSE;FALSE;"NOT-flipped"
18172;100;10;0;1;2;0.8;0.799;FALSE;FALSE;"NOT-flipped"
18267;100;10;0;1;2;0.8;0.757;FALSE;FALSE;"NOT-flipped"
18293;100;10;0;1;2;0.827;0.823;FALSE;FALSE;"NOT-flipped"
18434;100;10;0;1;2;0.77;0.86;FALSE;FALSE;"NOT-flipped"
1901;100;10;0;1;2;0.77;0.673;FALSE;FALSE;"NOT-flipped"
19019;100;10;0;1;2;0.876;0.776;FALSE;FALSE;"NOT-flipped"
19037;100;10;0;1;2;0.719;0.717;FALSE;FALSE;"NOT-flipped"
19404;100;10;0;1;2;0.812;0.803;FALSE;FALSE;"NOT-flipped"
1955;100;10;0;1;2;0.838;0.838;FALSE;FALSE;"NOT-flipped"
19606;100;10;0;1;2;0.804;0.801;FALSE;FALSE;"NOT-flipped"
19637;100;10;0;1;2;0.8;0.766;FALSE;FALSE;"NOT-flipped"
19807;100;10;0;1;2;0.847;0.821;FALSE;FALSE;"NOT-flipped"
2086;100;10;0;1;2;0.81;0.802;FALSE;FALSE;"NOT-flipped"
2358;100;10;0;1;2;0.843;0.815;FALSE;FALSE;"NOT-flipped"
2558;100;10;0;1;2;0.815;0.809;FALSE;FALSE;"NOT-flipped"
2598;100;10;0;1;2;0.856;0.831;FALSE;FALSE;"NOT-flipped"
2655;100;10;0;1;2;0.821;0.876;FALSE;FALSE;"NOT-flipped"
2675;100;10;0;1;2;0.766;0.81;FALSE;FALSE;"NOT-flipped"
2922;100;10;0;1;2;0.729;0.84;FALSE;FALSE;"NOT-flipped"
2961;100;10;0;1;2;0.749;0.805;FALSE;FALSE;"NOT-flipped"
3416;100;10;0;1;2;0.831;0.808;FALSE;FALSE;"NOT-flipped"
3442;100;10;0;1;2;0.84;0.799;FALSE;FALSE;"NOT-flipped"
3569;100;10;0;1;2;0.834;0.786;FALSE;FALSE;"NOT-flipped"
3981;100;10;0;1;2;0.857;0.821;FALSE;FALSE;"NOT-flipped"
4156;100;10;0;1;2;0.775;0.627;FALSE;FALSE;"NOT-flipped"
4240;100;10;0;1;2;0.811;0.86;FALSE;FALSE;"NOT-flipped"
4265;100;10;0;1;2;0.779;0.861;FALSE;FALSE;"NOT-flipped"
4365;100;10;0;1;2;0.838;0.666;FALSE;FALSE;"NOT-flipped"
4414;100;10;0;1;2;0.776;0.765;FALSE;FALSE;"NOT-flipped"
4941;100;10;0;1;2;0.823;0.837;FALSE;FALSE;"NOT-flipped"
5788;100;10;0;1;2;0.815;0.818;FALSE;FALSE;"NOT-flipped"
6518;100;10;0;1;2;0.842;0.796;FALSE;FALSE;"NOT-flipped"
6846;100;10;0;1;2;0.735;0.783;FALSE;FALSE;"NOT-flipped"
6884;100;10;0;1;2;NA;NA;FALSE;TRUE;"NOT-IMP"
7029;100;10;0;1;2;0.808;0.84;FALSE;FALSE;"NOT-flipped"
7146;100;10;0;1;2;0.755;0.789;FALSE;FALSE;"NOT-flipped"
7195;100;10;0;1;2;0.855;0.848;FALSE;FALSE;"NOT-flipped"
7412;100;10;0;1;2;0.823;0.809;FALSE;FALSE;"NOT-flipped"
7466;100;10;0;1;2;0.791;0.8;FALSE;FALSE;"NOT-flipped"
7495;100;10;0;1;2;0.826;0.799;FALSE;FALSE;"NOT-flipped"
7849;100;10;0;1;2;0.821;0.85;FALSE;FALSE;"NOT-flipped"
