"seed";"a";"b";"c";"d";"e";"rho1";"rho2";"err1";"err2";"flipped"
14797;100;10;0;1;2;0.847;0.86;FALSE;FALSE;"NOT-flipped"
14800;100;10;0;1;2;0.836;0.879;FALSE;FALSE;"NOT-flipped"
14857;100;10;0;1;2;0.849;0.833;FALSE;FALSE;"NOT-flipped"
14984;100;10;0;1;2;0.815;0.828;FALSE;FALSE;"NOT-flipped"
15487;100;10;0;1;2;0.774;0.882;FALSE;FALSE;"NOT-flipped"
15732;100;10;0;1;2;0.828;0.776;FALSE;FALSE;"NOT-flipped"
15807;100;10;0;1;2;0.827;0.834;FALSE;FALSE;"NOT-flipped"
16409;100;10;0;1;2;0.827;0.773;FALSE;FALSE;"NOT-flipped"
16434;100;10;0;1;2;0.801;0.793;FALSE;FALSE;"NOT-flipped"
1667;100;10;0;1;2;0.867;0.824;FALSE;FALSE;"NOT-flipped"
16924;100;10;0;1;2;0.764;0.854;FALSE;FALSE;"NOT-flipped"
17347;100;10;0;1;2;0.792;0.897;FALSE;FALSE;"NOT-flipped"
17718;100;10;0;1;2;0.773;0.832;FALSE;FALSE;"NOT-flipped"
17746;100;10;0;1;2;0.736;0.771;FALSE;FALSE;"NOT-flipped"
18131;100;10;0;1;2;0.808;0.791;FALSE;FALSE;"NOT-flipped"
18172;100;10;0;1;2;0.826;0.806;FALSE;FALSE;"NOT-flipped"
18267;100;10;0;1;2;0.79;0.781;FALSE;FALSE;"NOT-flipped"
18293;100;10;0;1;2;0.808;0.85;FALSE;FALSE;"NOT-flipped"
18434;100;10;0;1;2;0.805;0.862;FALSE;FALSE;"NOT-flipped"
1901;100;10;0;1;2;0.79;0.673;FALSE;FALSE;"NOT-flipped"
19019;100;10;0;1;2;0.865;0.766;FALSE;FALSE;"NOT-flipped"
19037;100;10;0;1;2;0.733;0.769;FALSE;FALSE;"NOT-flipped"
19404;100;10;0;1;2;0.815;0.803;FALSE;FALSE;"NOT-flipped"
1955;100;10;0;1;2;0.861;0.843;FALSE;FALSE;"NOT-flipped"
19606;100;10;0;1;2;0.817;0.83;FALSE;FALSE;"NOT-flipped"
19637;100;10;0;1;2;0.809;0.789;FALSE;FALSE;"NOT-flipped"
19807;100;10;0;1;2;0.834;0.819;FALSE;FALSE;"NOT-flipped"
2086;100;10;0;1;2;0.801;0.824;FALSE;FALSE;"NOT-flipped"
2358;100;10;0;1;2;0.871;0.827;FALSE;FALSE;"NOT-flipped"
2558;100;10;0;1;2;0.801;0.818;FALSE;FALSE;"NOT-flipped"
2598;100;10;0;1;2;0.867;0.85;FALSE;FALSE;"NOT-flipped"
2655;100;10;0;1;2;0.844;0.878;FALSE;FALSE;"NOT-flipped"
2675;100;10;0;1;2;0.798;0.803;FALSE;FALSE;"NOT-flipped"
2922;100;10;0;1;2;0.766;0.841;FALSE;FALSE;"NOT-flipped"
2961;100;10;0;1;2;0.779;0.84;FALSE;FALSE;"NOT-flipped"
3416;100;10;0;1;2;0.836;0.798;FALSE;FALSE;"NOT-flipped"
3442;100;10;0;1;2;0.86;0.762;FALSE;FALSE;"NOT-flipped"
3569;100;10;0;1;2;0.861;0.795;FALSE;FALSE;"NOT-flipped"
3981;100;10;0;1;2;0.849;0.84;FALSE;FALSE;"NOT-flipped"
4156;100;10;0;1;2;0.761;0.647;FALSE;FALSE;"NOT-flipped"
4240;100;10;0;1;2;0.826;0.87;FALSE;FALSE;"NOT-flipped"
4265;100;10;0;1;2;0.808;0.85;FALSE;FALSE;"NOT-flipped"
4365;100;10;0;1;2;0.84;0.717;FALSE;FALSE;"NOT-flipped"
4414;100;10;0;1;2;0.767;0.802;FALSE;FALSE;"NOT-flipped"
4941;100;10;0;1;2;0.807;0.852;FALSE;FALSE;"NOT-flipped"
5788;100;10;0;1;2;0.819;0.821;FALSE;FALSE;"NOT-flipped"
6518;100;10;0;1;2;0.841;0.814;FALSE;FALSE;"NOT-flipped"
6846;100;10;0;1;2;0.755;0.809;FALSE;FALSE;"NOT-flipped"
6884;100;10;0;1;2;0.766;0.755;FALSE;FALSE;"NOT-flipped"
7029;100;10;0;1;2;0.825;0.821;FALSE;FALSE;"NOT-flipped"
7146;100;10;0;1;2;0.743;0.783;FALSE;FALSE;"NOT-flipped"
7195;100;10;0;1;2;0.874;0.841;FALSE;FALSE;"NOT-flipped"
7412;100;10;0;1;2;0.839;0.811;FALSE;FALSE;"NOT-flipped"
7466;100;10;0;1;2;0.79;0.828;FALSE;FALSE;"NOT-flipped"
7495;100;10;0;1;2;0.816;0.818;FALSE;FALSE;"NOT-flipped"
7849;100;10;0;1;2;0.845;0.86;FALSE;FALSE;"NOT-flipped"
7936;100;10;0;1;2;0.806;0.735;FALSE;FALSE;"NOT-flipped"
8100;100;10;0;1;2;0.859;0.783;FALSE;FALSE;"NOT-flipped"
8135;100;10;0;1;2;0.814;0.797;FALSE;FALSE;"NOT-flipped"
8255;100;10;0;1;2;0.828;0.86;FALSE;FALSE;"NOT-flipped"
8550;100;10;0;1;2;NA;NA;FALSE;TRUE;"NOT-IMP"
8564;100;10;0;1;2;0.87;0.841;FALSE;FALSE;"NOT-flipped"
8738;100;10;0;1;2;0.789;0.841;FALSE;FALSE;"NOT-flipped"
8767;100;10;0;1;2;0.837;0.782;FALSE;FALSE;"NOT-flipped"
8927;100;10;0;1;2;0.856;0.801;FALSE;FALSE;"NOT-flipped"
9532;100;10;0;1;2;0.761;0.857;FALSE;FALSE;"NOT-flipped"
9607;100;10;0;1;2;NA;NA;FALSE;TRUE;"NOT-IMP"
9678;100;10;0;1;2;0.754;0.798;FALSE;FALSE;"NOT-flipped"
9970;100;10;0;1;2;0.78;0.852;FALSE;FALSE;"NOT-flipped"
10023;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
10069;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
10216;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
10244;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
10850;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
10935;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
11098;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
11471;100;10;0;2;1;0.678;0.647;FALSE;FALSE;"NOT-flipped"
1150;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
11771;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
12519;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
12599;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1273;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
12895;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
12934;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
12967;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1298;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
13109;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
13110;100;10;0;2;1;0.713;0.711;FALSE;FALSE;"NOT-flipped"
13213;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
13246;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
13374;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
13495;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
13543;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1361;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
13728;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
13759;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
13810;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
1395;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
14042;100;10;0;2;1;NA;NA;FALSE;TRUE;"NOT-IMP"
14687;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
14797;100;10;0;2;1;NA;NA;TRUE;TRUE;"NOT-IMP"
